crop_name,grade,quantity_kg,month,region,base_price,perishability,demand_index,fair_price_kg,listing_price_kg,is_sold,days_to_sell
Sugarcane,B,1695.3,7,"Ludhiana, Punjab",4.5,0.4,1.33,4.89,5.43,0,25
Cabbage,A,1253.9,1,"Guntur, Andhra Pradesh",18.0,0.6,0.92,15.93,16.98,0,25
Potato,B,249.6,3,"Bengaluru, Karnataka",20.0,0.2,1.27,18.89,20.55,0,25
Cauliflower,A,1194.6,7,"Bengaluru, Karnataka",26.0,0.8,1.1,37.57,33.92,1,2
Cabbage,C,1626.8,9,"Nashik, Maharashtra",18.0,0.6,0.94,12.44,11.22,1,2
Cauliflower,A,2626.4,7,"Indore, Madhya Pradesh",26.0,0.8,1.0,28.43,31.17,0,25
Groundnut,C,333.0,4,"Bengaluru, Karnataka",72.0,0.1,1.29,70.59,62.53,1,5
Brinjal,B,1316.9,4,"Ludhiana, Punjab",22.0,0.75,1.2,27.64,23.76,1,3
Green Chilli,C,626.0,10,"Indore, Madhya Pradesh",55.0,0.7,0.92,47.42,47.4,1,7
Cotton,A,265.4,12,"Koyambedu, Chennai, Tamil Nadu",70.0,0.05,1.37,77.08,94.09,0,25
Cotton,B,2790.5,6,"Nashik, Maharashtra",70.0,0.05,0.96,66.14,61.75,1,5
Rice,C,1958.0,9,"Pune, Maharashtra",48.0,0.05,1.26,45.83,41.55,1,5
Tomato,B,722.8,5,"Nashik, Maharashtra",24.0,0.85,1.04,25.88,22.55,1,5
Tomato,A,1121.7,11,"Guntur, Andhra Pradesh",24.0,0.85,1.33,20.16,22.46,0,25
Cotton,A,3476.3,5,"Nashik, Maharashtra",70.0,0.05,1.22,82.6,102.48,0,25
Onion,B,2149.7,10,"Indore, Madhya Pradesh",28.0,0.3,0.99,24.29,25.51,0,25
Carrot,C,1027.2,1,"Nashik, Maharashtra",34.0,0.5,1.16,23.66,21.6,1,3
Green Chilli,B,3984.2,4,"Pune, Maharashtra",55.0,0.7,1.39,68.53,65.81,1,2
Wheat,B,3799.0,9,"Nashik, Maharashtra",30.0,0.05,1.01,28.21,25.53,1,5
Cauliflower,C,999.4,7,"Bengaluru, Karnataka",26.0,0.8,0.98,27.57,34.14,0,25
Maize,C,2191.8,8,"Ludhiana, Punjab",23.0,0.1,1.0,19.95,23.34,0,25
Cotton,A,2835.3,12,"Pune, Maharashtra",70.0,0.05,1.16,75.2,67.99,1,7
Sugarcane,A,317.9,6,"Anand, Gujarat",4.5,0.4,1.17,5.64,6.69,0,25
Potato,C,3526.5,6,"Nashik, Maharashtra",20.0,0.2,1.11,16.05,16.28,1,5
Maize,C,3127.5,3,"Pune, Maharashtra",23.0,0.1,0.95,20.58,22.53,0,25
Wheat,C,967.1,10,"Bengaluru, Karnataka",30.0,0.05,1.24,33.21,33.0,1,6
Carrot,A,2615.8,12,"Indore, Madhya Pradesh",34.0,0.5,0.99,27.94,25.58,1,3
Brinjal,A,929.1,7,"Pune, Maharashtra",22.0,0.75,1.24,31.03,28.89,1,3
Potato,B,1333.3,12,"Indore, Madhya Pradesh",20.0,0.2,1.13,20.34,17.63,1,5
Brinjal,C,2465.4,7,"Ludhiana, Punjab",22.0,0.75,1.27,21.27,23.13,0,25
Cauliflower,C,481.8,9,"Nashik, Maharashtra",26.0,0.8,1.13,27.53,26.11,1,5
Groundnut,A,3072.4,9,"Guntur, Andhra Pradesh",72.0,0.1,1.38,79.53,73.64,1,4
Maize,B,707.6,8,"Pune, Maharashtra",23.0,0.1,1.05,27.25,33.01,0,25
Carrot,C,2904.5,2,"Indore, Madhya Pradesh",34.0,0.5,0.96,20.58,23.9,0,25
Maize,C,1683.6,7,"Anand, Gujarat",23.0,0.1,1.13,21.24,24.11,0,25
Rice,B,1330.1,5,"Koyambedu, Chennai, Tamil Nadu",48.0,0.05,1.22,59.0,66.94,0,25
Potato,C,501.0,2,"Koyambedu, Chennai, Tamil Nadu",20.0,0.2,1.12,15.04,15.09,1,7
Cauliflower,C,2223.9,7,"Anand, Gujarat",26.0,0.8,0.92,24.14,22.17,1,3
Cotton,C,3481.8,3,"Anand, Gujarat",70.0,0.05,0.99,57.34,55.84,1,6
Carrot,B,3599.2,2,"Anand, Gujarat",34.0,0.5,1.38,27.14,23.11,1,5
Tomato,B,2196.8,8,"Indore, Madhya Pradesh",24.0,0.85,0.9,24.26,26.34,0,25
Carrot,B,363.6,8,"Guntur, Andhra Pradesh",34.0,0.5,1.2,35.43,33.58,1,5
Cabbage,C,780.1,1,"Bengaluru, Karnataka",18.0,0.6,0.93,13.57,11.71,1,4
Cabbage,B,243.7,2,"Ludhiana, Punjab",18.0,0.6,1.11,16.07,14.81,1,5
Cabbage,C,3009.9,8,"Anand, Gujarat",18.0,0.6,1.08,17.92,17.55,1,7
Cotton,A,306.5,9,"Guntur, Andhra Pradesh",70.0,0.05,1.14,89.14,80.12,1,6
Green Chilli,C,878.9,9,"Guntur, Andhra Pradesh",55.0,0.7,1.0,55.26,68.62,0,25
Cauliflower,A,2770.2,12,"Indore, Madhya Pradesh",26.0,0.8,1.37,26.69,33.22,0,25
Wheat,B,2125.3,5,"Ludhiana, Punjab",30.0,0.05,1.4,25.8,27.74,0,25
Cauliflower,C,3241.5,8,"Indore, Madhya Pradesh",26.0,0.8,1.34,23.78,22.43,1,3
Rice,A,1886.3,1,"Koyambedu, Chennai, Tamil Nadu",48.0,0.05,1.3,64.16,70.33,0,25
Brinjal,B,1431.1,6,"Nashik, Maharashtra",22.0,0.75,1.3,22.09,20.65,1,5
Groundnut,B,1265.7,2,"Pune, Maharashtra",72.0,0.1,1.15,79.58,89.47,0,25
Green Chilli,B,816.4,3,"Nashik, Maharashtra",55.0,0.7,1.32,61.16,74.55,0,25
Carrot,B,586.2,11,"Nashik, Maharashtra",34.0,0.5,0.98,28.55,34.5,0,25
Carrot,B,1232.4,9,"Nashik, Maharashtra",34.0,0.5,1.26,38.07,37.16,1,5
Rice,C,311.5,6,"Ludhiana, Punjab",48.0,0.05,0.97,42.26,42.26,1,5
Potato,C,2401.0,3,"Guntur, Andhra Pradesh",20.0,0.2,1.33,13.98,16.09,0,25
Groundnut,B,1684.8,5,"Nashik, Maharashtra",72.0,0.1,1.15,74.85,92.09,0,25
Rice,C,493.3,3,"Pune, Maharashtra",48.0,0.05,1.29,50.25,58.35,0,25
Maize,A,148.5,9,"Indore, Madhya Pradesh",23.0,0.1,1.14,21.69,26.45,0,25
Groundnut,C,616.0,6,"Pune, Maharashtra",72.0,0.1,1.34,72.1,85.0,0,25
Cauliflower,C,2912.1,4,"Anand, Gujarat",26.0,0.8,1.13,21.77,18.54,1,6
Soybean,C,1894.2,6,"Koyambedu, Chennai, Tamil Nadu",46.0,0.1,0.92,38.58,40.83,0,25
Soybean,C,2331.4,1,"Pune, Maharashtra",46.0,0.1,1.06,43.04,39.9,1,3
Green Chilli,B,639.8,5,"Koyambedu, Chennai, Tamil Nadu",55.0,0.7,1.04,57.77,49.46,1,4
Cauliflower,A,1433.8,9,"Bengaluru, Karnataka",26.0,0.8,1.06,38.25,36.85,1,3
Onion,B,1802.4,9,"Ludhiana, Punjab",28.0,0.3,0.97,30.96,32.15,1,7
Onion,B,1734.5,2,"Nashik, Maharashtra",28.0,0.3,0.99,19.89,23.56,0,25
Groundnut,B,1362.7,5,"Ludhiana, Punjab",72.0,0.1,1.0,67.71,78.09,0,25
Sugarcane,C,2292.8,8,"Koyambedu, Chennai, Tamil Nadu",4.5,0.4,0.95,4.14,3.68,1,3
Soybean,C,965.2,8,"Indore, Madhya Pradesh",46.0,0.1,1.01,35.48,42.38,0,25
Cabbage,B,774.2,7,"Ludhiana, Punjab",18.0,0.6,1.36,17.87,17.51,1,5
Onion,B,1940.7,6,"Koyambedu, Chennai, Tamil Nadu",28.0,0.3,1.32,39.0,37.55,1,4
Cabbage,A,3279.3,7,"Koyambedu, Chennai, Tamil Nadu",18.0,0.6,1.3,21.91,25.57,0,25
Cauliflower,B,1683.1,10,"Guntur, Andhra Pradesh",26.0,0.8,1.21,31.79,33.99,0,25
Carrot,B,872.5,6,"Koyambedu, Chennai, Tamil Nadu",34.0,0.5,1.25,30.95,33.33,0,25
Green Chilli,C,2667.3,3,"Bengaluru, Karnataka",55.0,0.7,0.94,57.76,70.6,0,25
Cabbage,B,2404.5,10,"Koyambedu, Chennai, Tamil Nadu",18.0,0.6,1.06,21.29,20.72,1,4
Cabbage,A,2002.5,6,"Guntur, Andhra Pradesh",18.0,0.6,1.23,23.23,20.59,1,5
Maize,C,2660.5,3,"Nashik, Maharashtra",23.0,0.1,1.13,19.21,19.76,1,3
Maize,B,3187.7,10,"Pune, Maharashtra",23.0,0.1,1.24,21.98,26.76,0,25
Maize,B,2351.8,2,"Ludhiana, Punjab",23.0,0.1,1.21,20.75,24.71,0,25
Tomato,B,2828.2,1,"Nashik, Maharashtra",24.0,0.85,1.31,20.04,19.91,1,7
Cotton,A,2823.8,7,"Bengaluru, Karnataka",70.0,0.05,1.1,87.15,87.38,1,5
Soybean,A,793.5,3,"Indore, Madhya Pradesh",46.0,0.1,1.09,56.79,69.27,0,25
Cotton,B,3990.0,5,"Anand, Gujarat",70.0,0.05,1.24,74.44,63.74,1,5
Carrot,C,384.4,3,"Guntur, Andhra Pradesh",34.0,0.5,1.22,32.48,33.01,1,5
Sugarcane,C,760.2,10,"Guntur, Andhra Pradesh",4.5,0.4,1.15,3.91,3.88,1,3
Cabbage,A,985.2,12,"Indore, Madhya Pradesh",18.0,0.6,1.15,16.75,16.99,1,5
Green Chilli,A,1958.9,10,"Nashik, Maharashtra",55.0,0.7,1.08,45.99,40.56,1,5
Cauliflower,B,359.0,9,"Indore, Madhya Pradesh",26.0,0.8,1.34,24.19,21.42,1,4
Groundnut,C,2553.1,11,"Koyambedu, Chennai, Tamil Nadu",72.0,0.1,1.3,56.66,55.95,1,7
Carrot,B,2948.6,10,"Indore, Madhya Pradesh",34.0,0.5,1.11,33.93,41.88,0,25
Sugarcane,B,189.5,3,"Pune, Maharashtra",4.5,0.4,1.36,4.38,4.71,0,25
Tomato,C,717.9,10,"Indore, Madhya Pradesh",24.0,0.85,0.93,15.49,19.3,0,25
Sugarcane,C,1964.8,5,"Nashik, Maharashtra",4.5,0.4,0.96,3.98,3.78,1,5
Wheat,B,490.6,12,"Nashik, Maharashtra",30.0,0.05,0.99,31.92,34.69,0,25
Potato,C,3241.0,6,"Indore, Madhya Pradesh",20.0,0.2,1.03,15.75,18.42,0,25
Cotton,A,3871.0,2,"Ludhiana, Punjab",70.0,0.05,1.2,74.01,87.23,0,25
Cotton,B,989.9,7,"Guntur, Andhra Pradesh",70.0,0.05,1.12,71.32,81.57,0,25
Green Chilli,A,257.5,2,"Pune, Maharashtra",55.0,0.7,1.13,66.83,69.54,1,5
Sugarcane,C,2749.9,7,"Bengaluru, Karnataka",4.5,0.4,1.1,4.26,4.36,1,4
Sugarcane,B,1297.0,11,"Guntur, Andhra Pradesh",4.5,0.4,1.17,5.0,6.16,0,25
Onion,C,2461.4,7,"Ludhiana, Punjab",28.0,0.3,1.23,24.04,28.15,0,25
Wheat,C,3103.9,8,"Guntur, Andhra Pradesh",30.0,0.05,1.27,27.56,31.52,0,25
Cabbage,A,2776.6,11,"Ludhiana, Punjab",18.0,0.6,0.99,16.98,20.08,0,25
Tomato,B,460.4,9,"Koyambedu, Chennai, Tamil Nadu",24.0,0.85,1.12,26.02,24.4,1,3
Rice,A,413.2,10,"Nashik, Maharashtra",48.0,0.05,1.37,47.8,58.8,0,25
Soybean,A,3432.9,2,"Koyambedu, Chennai, Tamil Nadu",46.0,0.1,0.96,49.99,55.62,0,25
Maize,C,2797.8,2,"Anand, Gujarat",23.0,0.1,1.03,16.8,18.57,0,25
Maize,B,3618.4,12,"Guntur, Andhra Pradesh",23.0,0.1,1.28,24.67,24.16,1,3
Onion,B,1584.9,7,"Nashik, Maharashtra",28.0,0.3,1.4,30.43,28.03,1,2
Maize,A,2599.7,3,"Guntur, Andhra Pradesh",23.0,0.1,0.95,28.52,30.41,0,25
Brinjal,A,2875.8,8,"Koyambedu, Chennai, Tamil Nadu",22.0,0.75,0.95,29.52,28.05,1,4
Maize,B,2579.3,11,"Anand, Gujarat",23.0,0.1,1.37,25.86,28.86,0,25
Wheat,A,2319.8,7,"Ludhiana, Punjab",30.0,0.05,1.16,36.7,37.6,1,7
Sugarcane,A,1568.5,1,"Bengaluru, Karnataka",4.5,0.4,1.24,4.94,5.74,0,25
Onion,C,2743.3,6,"Ludhiana, Punjab",28.0,0.3,1.1,19.04,16.87,1,4
Green Chilli,A,2608.8,5,"Indore, Madhya Pradesh",55.0,0.7,0.99,46.12,39.93,1,3
Rice,B,2540.9,2,"Guntur, Andhra Pradesh",48.0,0.05,1.08,51.19,58.57,0,25
Potato,A,2893.0,1,"Bengaluru, Karnataka",20.0,0.2,1.2,22.56,23.59,1,3
Cauliflower,C,2159.1,8,"Pune, Maharashtra",26.0,0.8,1.32,15.55,13.45,1,2
Sugarcane,C,516.8,7,"Nashik, Maharashtra",4.5,0.4,1.3,4.39,4.9,0,25
Carrot,C,2338.4,12,"Anand, Gujarat",34.0,0.5,1.36,26.93,29.93,0,25
Carrot,C,2820.1,4,"Nashik, Maharashtra",34.0,0.5,0.97,28.1,25.82,1,2
Wheat,A,724.2,10,"Indore, Madhya Pradesh",30.0,0.05,1.2,36.51,38.29,1,7
Rice,A,1382.5,7,"Bengaluru, Karnataka",48.0,0.05,1.32,65.84,75.4,0,25
Brinjal,B,2325.1,11,"Koyambedu, Chennai, Tamil Nadu",22.0,0.75,0.97,20.83,24.07,0,25
Cabbage,A,526.9,2,"Ludhiana, Punjab",18.0,0.6,0.97,14.39,14.62,1,6
Cauliflower,A,3706.4,4,"Indore, Madhya Pradesh",26.0,0.8,0.92,32.87,35.99,0,25
Sugarcane,A,368.9,8,"Nashik, Maharashtra",4.5,0.4,0.9,5.42,6.61,0,25
Groundnut,C,2789.3,7,"Pune, Maharashtra",72.0,0.1,1.3,65.31,59.25,1,3
Carrot,B,2461.6,3,"Bengaluru, Karnataka",34.0,0.5,0.92,36.89,34.01,1,4
Onion,C,1704.2,6,"Pune, Maharashtra",28.0,0.3,1.18,29.34,36.4,0,25
Cabbage,B,3092.8,8,"Bengaluru, Karnataka",18.0,0.6,1.23,26.31,25.27,1,3
Sugarcane,A,746.5,8,"Indore, Madhya Pradesh",4.5,0.4,1.24,5.78,5.57,1,4
Green Chilli,C,462.5,1,"Indore, Madhya Pradesh",55.0,0.7,0.93,48.35,51.49,0,25
Potato,A,508.5,9,"Indore, Madhya Pradesh",20.0,0.2,1.35,24.64,24.16,1,3
Soybean,B,1338.2,2,"Bengaluru, Karnataka",46.0,0.1,0.95,47.27,54.13,0,25
Cotton,A,340.4,4,"Guntur, Andhra Pradesh",70.0,0.05,1.19,94.26,88.27,1,5
Potato,B,1858.1,3,"Ludhiana, Punjab",20.0,0.2,1.0,16.42,16.31,1,4
Green Chilli,A,2296.2,12,"Nashik, Maharashtra",55.0,0.7,1.04,69.4,70.6,1,7
Rice,B,3813.4,11,"Anand, Gujarat",48.0,0.05,1.35,43.37,46.89,0,25
Cauliflower,A,3435.0,7,"Koyambedu, Chennai, Tamil Nadu",26.0,0.8,1.14,37.88,44.88,0,25
Wheat,A,3496.8,12,"Guntur, Andhra Pradesh",30.0,0.05,1.02,33.72,34.52,1,3
Maize,C,3598.1,10,"Anand, Gujarat",23.0,0.1,1.11,18.97,21.69,0,25
Cauliflower,A,1607.6,9,"Guntur, Andhra Pradesh",26.0,0.8,1.3,35.69,40.28,0,25
Onion,B,378.2,4,"Indore, Madhya Pradesh",28.0,0.3,1.28,28.96,27.14,1,4
Rice,C,1945.1,1,"Koyambedu, Chennai, Tamil Nadu",48.0,0.05,1.05,42.58,48.17,0,25
Cotton,C,1881.9,8,"Nashik, Maharashtra",70.0,0.05,0.97,57.72,69.18,0,25
Soybean,B,329.3,11,"Nashik, Maharashtra",46.0,0.1,1.35,40.4,39.72,1,2
Brinjal,B,369.8,11,"Bengaluru, Karnataka",22.0,0.75,1.34,22.42,27.53,0,25
Soybean,B,1562.7,2,"Nashik, Maharashtra",46.0,0.1,1.13,46.5,40.29,1,3
Soybean,C,2851.9,9,"Koyambedu, Chennai, Tamil Nadu",46.0,0.1,1.0,43.21,38.69,1,4
Sugarcane,C,3055.5,12,"Bengaluru, Karnataka",4.5,0.4,1.06,3.42,4.14,0,25
Cauliflower,C,265.1,5,"Guntur, Andhra Pradesh",26.0,0.8,1.09,20.34,24.04,0,25
Carrot,C,2502.8,8,"Pune, Maharashtra",34.0,0.5,1.3,33.23,40.81,0,25
Sugarcane,A,394.9,8,"Bengaluru, Karnataka",4.5,0.4,1.1,6.4,5.64,1,2
Onion,C,644.5,8,"Anand, Gujarat",28.0,0.3,1.0,31.01,38.17,0,25
Tomato,B,2188.7,11,"Guntur, Andhra Pradesh",24.0,0.85,0.97,17.62,19.52,0,25
Wheat,A,3493.6,1,"Koyambedu, Chennai, Tamil Nadu",30.0,0.05,1.02,38.19,46.93,0,25
Soybean,B,1404.0,10,"Guntur, Andhra Pradesh",46.0,0.1,1.22,38.58,43.55,0,25
Cotton,C,1251.1,8,"Indore, Madhya Pradesh",70.0,0.05,0.97,63.4,73.91,0,25
Potato,B,1519.0,8,"Bengaluru, Karnataka",20.0,0.2,1.04,23.27,22.43,1,7
Cabbage,A,3894.2,3,"Pune, Maharashtra",18.0,0.6,1.32,21.83,24.61,0,25
Soybean,A,511.8,4,"Anand, Gujarat",46.0,0.1,1.4,57.34,57.22,1,3
Groundnut,A,634.4,6,"Ludhiana, Punjab",72.0,0.1,1.12,83.27,103.27,0,25
Cauliflower,B,1648.0,1,"Koyambedu, Chennai, Tamil Nadu",26.0,0.8,1.15,25.91,25.34,1,2
Groundnut,C,2836.5,11,"Ludhiana, Punjab",72.0,0.1,1.14,52.48,50.69,1,7
Cabbage,C,2927.7,10,"Anand, Gujarat",18.0,0.6,1.36,16.02,16.69,1,2
Soybean,C,147.9,5,"Koyambedu, Chennai, Tamil Nadu",46.0,0.1,1.21,47.66,44.71,1,4
Green Chilli,A,2129.4,10,"Bengaluru, Karnataka",55.0,0.7,1.29,75.86,67.02,1,6
Soybean,C,1608.0,9,"Koyambedu, Chennai, Tamil Nadu",46.0,0.1,1.15,42.53,46.41,0,25
Cauliflower,A,634.4,7,"Ludhiana, Punjab",26.0,0.8,1.33,30.13,29.04,1,4
Carrot,C,2925.0,4,"Koyambedu, Chennai, Tamil Nadu",34.0,0.5,1.12,33.45,41.71,0,25
Sugarcane,B,3232.4,3,"Pune, Maharashtra",4.5,0.4,1.39,3.81,3.45,1,5
Onion,A,1924.7,5,"Bengaluru, Karnataka",28.0,0.3,1.33,43.02,53.55,0,25
Onion,C,76.1,2,"Guntur, Andhra Pradesh",28.0,0.3,1.22,21.18,21.92,1,6
Maize,A,3337.5,3,"Bengaluru, Karnataka",23.0,0.1,1.04,30.05,31.44,1,8
Wheat,C,2259.2,8,"Pune, Maharashtra",30.0,0.05,1.13,27.57,26.33,1,7
Cotton,C,2632.6,2,"Indore, Madhya Pradesh",70.0,0.05,1.35,61.71,62.75,1,5
Groundnut,C,521.5,1,"Bengaluru, Karnataka",72.0,0.1,1.04,73.07,83.9,0,25
Cabbage,B,2530.6,5,"Guntur, Andhra Pradesh",18.0,0.6,1.14,18.34,20.68,0,25
Onion,B,693.2,5,"Nashik, Maharashtra",28.0,0.3,0.93,25.38,22.95,1,2
Wheat,B,3652.8,11,"Guntur, Andhra Pradesh",30.0,0.05,1.08,32.58,31.47,1,5
Maize,A,773.8,11,"Bengaluru, Karnataka",23.0,0.1,0.95,29.95,35.91,0,25
Cotton,C,2757.5,5,"Pune, Maharashtra",70.0,0.05,1.24,58.9,52.32,1,4
Cotton,A,2096.8,3,"Nashik, Maharashtra",70.0,0.05,1.09,75.64,91.85,0,25
Onion,A,923.4,9,"Anand, Gujarat",28.0,0.3,0.99,33.58,40.59,0,25
Cabbage,C,1868.9,7,"Koyambedu, Chennai, Tamil Nadu",18.0,0.6,0.94,17.9,18.65,1,4
Green Chilli,A,2116.3,10,"Indore, Madhya Pradesh",55.0,0.7,1.39,49.76,45.72,1,3
Groundnut,A,3434.4,3,"Bengaluru, Karnataka",72.0,0.1,0.97,89.62,80.85,1,2
Groundnut,A,3110.0,1,"Koyambedu, Chennai, Tamil Nadu",72.0,0.1,1.28,96.78,83.91,1,2
Sugarcane,C,519.7,8,"Nashik, Maharashtra",4.5,0.4,1.03,4.16,4.79,0,25
Sugarcane,A,3609.6,10,"Bengaluru, Karnataka",4.5,0.4,0.99,5.73,5.68,1,3
Cotton,C,1424.0,10,"Pune, Maharashtra",70.0,0.05,0.98,45.15,42.74,1,5
Onion,C,907.1,9,"Nashik, Maharashtra",28.0,0.3,1.0,24.14,23.24,1,7
Cauliflower,A,3685.9,4,"Koyambedu, Chennai, Tamil Nadu",26.0,0.8,1.33,27.87,25.75,1,5
Onion,A,1725.2,7,"Ludhiana, Punjab",28.0,0.3,1.16,33.86,34.3,1,7
Green Chilli,A,2102.9,2,"Indore, Madhya Pradesh",55.0,0.7,1.15,59.15,67.36,0,25
Onion,B,1569.9,2,"Indore, Madhya Pradesh",28.0,0.3,1.13,24.64,28.2,0,25
Soybean,B,1658.8,9,"Bengaluru, Karnataka",46.0,0.1,1.39,50.58,61.1,0,25
Sugarcane,B,100.5,3,"Ludhiana, Punjab",4.5,0.4,1.24,4.12,4.61,0,25
Brinjal,B,616.3,2,"Koyambedu, Chennai, Tamil Nadu",22.0,0.75,1.1,24.22,29.55,0,25
Potato,A,1387.6,4,"Ludhiana, Punjab",20.0,0.2,1.2,23.53,29.32,0,25
Onion,A,2021.5,12,"Guntur, Andhra Pradesh",28.0,0.3,1.28,34.9,40.22,0,25
Sugarcane,C,1929.5,6,"Guntur, Andhra Pradesh",4.5,0.4,1.2,3.8,3.84,1,5
Wheat,A,532.7,2,"Indore, Madhya Pradesh",30.0,0.05,1.14,36.31,31.3,1,5
Cotton,A,155.7,11,"Indore, Madhya Pradesh",70.0,0.05,0.99,77.96,85.12,0,25
Green Chilli,A,2511.8,10,"Pune, Maharashtra",55.0,0.7,1.28,64.55,67.58,1,5
Wheat,C,2043.9,8,"Indore, Madhya Pradesh",30.0,0.05,1.17,24.38,28.62,0,25
Cauliflower,C,3963.3,1,"Nashik, Maharashtra",26.0,0.8,1.34,20.65,24.6,0,25
Carrot,B,748.6,1,"Nashik, Maharashtra",34.0,0.5,1.23,31.84,36.99,0,25
Maize,C,1751.2,8,"Anand, Gujarat",23.0,0.1,1.06,18.57,20.01,0,25
Carrot,C,2270.9,8,"Indore, Madhya Pradesh",34.0,0.5,0.98,30.36,26.48,1,3
Cabbage,B,1315.9,5,"Ludhiana, Punjab",18.0,0.6,0.91,20.7,20.48,1,6
Tomato,C,434.5,7,"Ludhiana, Punjab",24.0,0.85,1.07,22.65,22.49,1,4
Soybean,A,2609.9,4,"Bengaluru, Karnataka",46.0,0.1,1.2,61.98,60.24,1,4
Tomato,C,1870.6,1,"Ludhiana, Punjab",24.0,0.85,1.33,17.17,18.5,0,25
Maize,B,2799.0,1,"Pune, Maharashtra",23.0,0.1,1.19,26.25,26.41,1,6
Sugarcane,B,2716.7,12,"Koyambedu, Chennai, Tamil Nadu",4.5,0.4,1.07,3.95,4.15,0,25
Sugarcane,C,2478.6,3,"Ludhiana, Punjab",4.5,0.4,1.08,2.94,3.5,0,25
Sugarcane,A,1097.4,5,"Bengaluru, Karnataka",4.5,0.4,1.05,6.06,6.54,0,25
Sugarcane,A,3384.5,12,"Koyambedu, Chennai, Tamil Nadu",4.5,0.4,0.95,4.36,5.1,0,25
Carrot,B,3192.8,6,"Bengaluru, Karnataka",34.0,0.5,1.23,40.12,38.95,1,6
Brinjal,C,1686.5,4,"Ludhiana, Punjab",22.0,0.75,1.03,15.81,16.9,0,25
Maize,A,2021.9,10,"Anand, Gujarat",23.0,0.1,1.23,22.79,26.88,0,25
Carrot,B,2920.1,10,"Guntur, Andhra Pradesh",34.0,0.5,0.93,33.61,31.8,1,6
Sugarcane,B,1308.7,7,"Guntur, Andhra Pradesh",4.5,0.4,1.32,5.15,4.51,1,2
Brinjal,B,684.3,11,"Pune, Maharashtra",22.0,0.75,1.24,20.73,18.86,1,2
Sugarcane,B,2261.3,8,"Indore, Madhya Pradesh",4.5,0.4,1.12,4.59,5.09,0,25
Tomato,A,588.9,5,"Anand, Gujarat",24.0,0.85,1.03,30.99,28.52,1,6
Groundnut,B,3445.4,1,"Nashik, Maharashtra",72.0,0.1,0.94,61.76,67.36,0,25
Cotton,A,2703.1,6,"Guntur, Andhra Pradesh",70.0,0.05,1.34,75.92,90.12,0,25
Rice,A,2673.7,9,"Koyambedu, Chennai, Tamil Nadu",48.0,0.05,1.19,65.03,75.44,0,25
Cauliflower,B,990.4,2,"Indore, Madhya Pradesh",26.0,0.8,0.96,26.48,28.7,0,25
Brinjal,C,911.1,7,"Bengaluru, Karnataka",22.0,0.75,0.95,19.32,18.08,1,3
Brinjal,B,2157.2,8,"Nashik, Maharashtra",22.0,0.75,1.25,25.21,26.22,1,4
Wheat,A,2876.9,8,"Ludhiana, Punjab",30.0,0.05,1.31,37.04,31.8,1,6
Cabbage,A,3674.0,12,"Nashik, Maharashtra",18.0,0.6,1.24,17.21,19.03,0,25
Groundnut,B,3474.5,9,"Koyambedu, Chennai, Tamil Nadu",72.0,0.1,1.33,87.87,88.34,1,8
Brinjal,B,3748.5,2,"Pune, Maharashtra",22.0,0.75,1.28,22.71,20.76,1,4
Green Chilli,C,1132.4,1,"Guntur, Andhra Pradesh",55.0,0.7,0.94,58.08,67.48,0,25
Carrot,B,2883.7,6,"Guntur, Andhra Pradesh",34.0,0.5,1.34,38.63,43.63,0,25
Cauliflower,A,2428.4,7,"Ludhiana, Punjab",26.0,0.8,1.31,24.87,28.48,0,25
Carrot,C,2583.4,1,"Nashik, Maharashtra",34.0,0.5,0.99,20.12,17.13,1,2
Wheat,B,673.4,2,"Koyambedu, Chennai, Tamil Nadu",30.0,0.05,1.16,35.69,44.18,0,25
Cotton,C,2758.7,10,"Anand, Gujarat",70.0,0.05,1.3,49.75,56.92,0,25
Wheat,A,834.7,5,"Ludhiana, Punjab",30.0,0.05,1.11,30.56,28.2,1,6
Cotton,C,3795.0,1,"Bengaluru, Karnataka",70.0,0.05,1.36,53.69,65.11,0,25
Carrot,A,3414.7,12,"Pune, Maharashtra",34.0,0.5,0.92,28.76,31.56,0,25
Cabbage,B,3834.2,2,"Anand, Gujarat",18.0,0.6,0.99,14.18,15.04,0,25
Sugarcane,B,936.7,2,"Indore, Madhya Pradesh",4.5,0.4,1.0,3.63,4.46,0,25
Cotton,B,2002.0,12,"Pune, Maharashtra",70.0,0.05,0.97,63.19,78.87,0,25
Wheat,C,762.5,7,"Bengaluru, Karnataka",30.0,0.05,1.3,29.74,25.62,1,6
Rice,C,1510.1,4,"Indore, Madhya Pradesh",48.0,0.05,1.24,42.06,37.99,1,3
Groundnut,B,1564.8,12,"Bengaluru, Karnataka",72.0,0.1,1.11,67.92,73.96,0,25
Onion,A,1364.8,1,"Nashik, Maharashtra",28.0,0.3,1.02,34.73,42.57,0,25
Sugarcane,C,1051.9,1,"Nashik, Maharashtra",4.5,0.4,1.21,3.07,2.98,1,4
Green Chilli,A,758.5,10,"Nashik, Maharashtra",55.0,0.7,0.98,56.81,58.93,1,3
Groundnut,C,1078.6,3,"Guntur, Andhra Pradesh",72.0,0.1,1.06,63.62,78.98,0,25
Carrot,B,1167.6,7,"Ludhiana, Punjab",34.0,0.5,1.34,32.56,31.11,1,4
