distance_km,cargo_weight_kg,crop_name,perishability,vehicle_type,base_component,distance_component,weight_component,perishability_component,fair_freight
193.6,6077.0,Brinjal,0.75,Heavy Truck,300.0,4259.0,941.0,261.0,5591.0
30.3,3306.0,Potato,0.2,Mini Truck,300.0,515.0,80.0,11.0,888.0
179.3,2918.0,Tomato,0.85,Mini Truck,300.0,3048.0,419.0,274.0,3910.0
369.4,3704.0,Carrot,0.5,Heavy Truck,300.0,8127.0,1095.0,332.0,9537.0
67.4,6165.0,Maize,0.1,Heavy Truck,300.0,1483.0,332.0,12.0,2076.0
639.5,977.0,Groundnut,0.1,Pickup,300.0,8953.0,500.0,115.0,10353.0
411.4,574.0,Onion,0.3,Pickup,300.0,5760.0,189.0,222.0,6285.0
429.1,1925.0,Cauliflower,0.8,Mini Truck,300.0,7295.0,661.0,618.0,9090.0
17.4,5174.0,Brinjal,0.75,Heavy Truck,300.0,383.0,72.0,23.0,800.0
153.6,5723.0,Maize,0.1,Heavy Truck,300.0,3379.0,703.0,28.0,4524.0
633.1,1884.0,Brinjal,0.75,Mini Truck,300.0,10763.0,954.0,855.0,13197.0
631.2,2208.0,Potato,0.2,Mini Truck,300.0,10730.0,1115.0,227.0,12873.0
636.2,2991.0,Rice,0.05,Mini Truck,300.0,10815.0,1522.0,57.0,13161.0
201.9,5794.0,Tomato,0.85,Heavy Truck,300.0,4442.0,936.0,309.0,5805.0
66.4,1733.0,Green Chilli,0.7,Mini Truck,300.0,1129.0,92.0,84.0,1612.0
485.9,4419.0,Rice,0.05,Heavy Truck,300.0,10690.0,1718.0,44.0,13348.0
207.8,5933.0,Wheat,0.05,Heavy Truck,300.0,4572.0,986.0,19.0,5766.0
367.3,3011.0,Carrot,0.5,Mini Truck,300.0,6244.0,885.0,331.0,8147.0
352.2,1226.0,Green Chilli,0.7,Mini Truck,300.0,5987.0,345.0,444.0,7276.0
489.7,971.0,Carrot,0.5,Pickup,300.0,6856.0,380.0,441.0,8138.0
127.3,3226.0,Tomato,0.85,Mini Truck,300.0,2164.0,329.0,195.0,3005.0
552.3,4955.0,Brinjal,0.75,Heavy Truck,300.0,12151.0,2189.0,746.0,16065.0
606.4,5504.0,Potato,0.2,Heavy Truck,300.0,13341.0,2670.0,218.0,17141.0
186.7,628.0,Maize,0.1,Pickup,300.0,2614.0,94.0,34.0,3090.0
292.8,6985.0,Cotton,0.05,Heavy Truck,300.0,6442.0,1636.0,26.0,8481.0
336.8,5926.0,Sugarcane,0.4,Heavy Truck,300.0,7410.0,1597.0,242.0,9703.0
312.9,5826.0,Soybean,0.1,Heavy Truck,300.0,6884.0,1458.0,56.0,8476.0
48.5,1533.0,Tomato,0.85,Mini Truck,300.0,824.0,59.0,74.0,1212.0
634.0,851.0,Cauliflower,0.8,Pickup,300.0,8876.0,432.0,913.0,10387.0
372.0,6955.0,Potato,0.2,Heavy Truck,300.0,8184.0,2070.0,134.0,10381.0
210.5,1976.0,Rice,0.05,Mini Truck,300.0,3578.0,333.0,19.0,4178.0
206.6,2993.0,Groundnut,0.1,Mini Truck,300.0,3512.0,495.0,37.0,4465.0
360.5,6638.0,Potato,0.2,Heavy Truck,300.0,7931.0,1914.0,130.0,9945.0
516.0,3086.0,Wheat,0.05,Mini Truck,300.0,8772.0,1274.0,46.0,10542.0
490.8,1229.0,Wheat,0.05,Mini Truck,300.0,8344.0,483.0,44.0,9278.0
120.1,6792.0,Soybean,0.1,Heavy Truck,300.0,2642.0,653.0,22.0,3697.0
522.7,4535.0,Onion,0.3,Heavy Truck,300.0,11499.0,1896.0,282.0,14383.0
74.7,5001.0,Carrot,0.5,Heavy Truck,300.0,1643.0,299.0,67.0,2378.0
359.9,654.0,Potato,0.2,Pickup,300.0,5039.0,188.0,130.0,5666.0
11.6,4714.0,Rice,0.05,Heavy Truck,300.0,255.0,44.0,1.0,593.0
225.9,4149.0,Wheat,0.05,Heavy Truck,300.0,4970.0,750.0,20.0,6070.0
563.0,5663.0,Groundnut,0.1,Heavy Truck,300.0,12386.0,2551.0,101.0,14814.0
340.8,4148.0,Brinjal,0.75,Heavy Truck,300.0,7498.0,1131.0,460.0,9467.0
645.6,2896.0,Cotton,0.05,Mini Truck,300.0,10975.0,1496.0,58.0,13210.0
232.3,779.0,Onion,0.3,Pickup,300.0,3252.0,145.0,125.0,4011.0
126.3,1211.0,Maize,0.1,Mini Truck,300.0,2147.0,122.0,23.0,2575.0
135.5,5273.0,Onion,0.3,Heavy Truck,300.0,2981.0,572.0,73.0,4052.0
129.4,6056.0,Onion,0.3,Heavy Truck,300.0,2847.0,627.0,70.0,3935.0
42.6,4318.0,Cauliflower,0.8,Heavy Truck,300.0,937.0,147.0,61.0,1443.0
537.2,1754.0,Potato,0.2,Mini Truck,300.0,9132.0,754.0,193.0,10058.0
477.2,6119.0,Brinjal,0.75,Heavy Truck,300.0,10498.0,2336.0,644.0,13293.0
47.4,1226.0,Groundnut,0.1,Mini Truck,300.0,806.0,46.0,9.0,1135.0
390.6,3900.0,Cabbage,0.6,Heavy Truck,300.0,8593.0,1219.0,422.0,10703.0
593.9,442.0,Onion,0.3,Pickup,300.0,8315.0,210.0,321.0,9444.0
30.8,191.0,Wheat,0.05,Pickup,300.0,431.0,5.0,3.0,770.0
313.9,906.0,Onion,0.3,Pickup,300.0,4395.0,228.0,170.0,5232.0
327.7,782.0,Cotton,0.05,Pickup,300.0,4588.0,205.0,29.0,5133.0
427.4,2963.0,Sugarcane,0.4,Mini Truck,300.0,7266.0,1013.0,308.0,9130.0
576.2,5328.0,Maize,0.1,Heavy Truck,300.0,12676.0,2456.0,104.0,16211.0
496.8,6585.0,Soybean,0.1,Heavy Truck,300.0,10930.0,2617.0,89.0,14276.0
635.8,6935.0,Groundnut,0.1,Heavy Truck,300.0,13988.0,3527.0,114.0,18031.0
73.1,4571.0,Cotton,0.05,Heavy Truck,300.0,1608.0,267.0,7.0,2287.0
308.7,3715.0,Cotton,0.05,Heavy Truck,300.0,6791.0,917.0,28.0,7979.0
16.0,931.0,Rice,0.05,Pickup,300.0,224.0,12.0,1.0,562.0
228.1,2430.0,Potato,0.2,Mini Truck,300.0,3878.0,443.0,82.0,4814.0
24.5,6466.0,Cauliflower,0.8,Heavy Truck,300.0,539.0,127.0,35.0,1009.0
565.0,3161.0,Groundnut,0.1,Mini Truck,300.0,9605.0,1429.0,102.0,10982.0
98.1,3329.0,Sugarcane,0.4,Mini Truck,300.0,1668.0,261.0,71.0,2219.0
155.1,872.0,Brinjal,0.75,Pickup,300.0,2171.0,108.0,209.0,2704.0
27.6,4863.0,Onion,0.3,Heavy Truck,300.0,607.0,107.0,15.0,1060.0
310.8,5860.0,Potato,0.2,Heavy Truck,300.0,6838.0,1457.0,112.0,9059.0
443.2,6166.0,Cabbage,0.6,Heavy Truck,300.0,9750.0,2186.0,479.0,12932.0
255.9,3420.0,Sugarcane,0.4,Mini Truck,300.0,4350.0,700.0,184.0,5373.0
136.7,2438.0,Rice,0.05,Mini Truck,300.0,2324.0,267.0,12.0,2797.0
572.1,3962.0,Onion,0.3,Heavy Truck,300.0,12586.0,1813.0,309.0,15623.0
14.5,5608.0,Cauliflower,0.8,Heavy Truck,300.0,319.0,65.0,21.0,678.0
472.6,3888.0,Sugarcane,0.4,Heavy Truck,300.0,10397.0,1470.0,340.0,12403.0
565.0,3553.0,Tomato,0.85,Heavy Truck,300.0,12430.0,1606.0,864.0,14825.0
174.4,6090.0,Rice,0.05,Heavy Truck,300.0,3837.0,850.0,16.0,5162.0
96.4,6147.0,Potato,0.2,Heavy Truck,300.0,2121.0,474.0,35.0,2855.0
537.5,2796.0,Tomato,0.85,Mini Truck,300.0,9138.0,1202.0,822.0,11818.0
256.0,4715.0,Brinjal,0.75,Heavy Truck,300.0,5632.0,966.0,346.0,7313.0
552.0,1891.0,Soybean,0.1,Mini Truck,300.0,9384.0,835.0,99.0,10645.0
258.9,3153.0,Soybean,0.1,Mini Truck,300.0,4401.0,653.0,47.0,5358.0
289.6,4862.0,Rice,0.05,Heavy Truck,300.0,6371.0,1126.0,26.0,7918.0
638.8,6527.0,Groundnut,0.1,Heavy Truck,300.0,14054.0,3336.0,115.0,18291.0
571.6,1080.0,Green Chilli,0.7,Pickup,300.0,8002.0,494.0,720.0,9183.0
83.9,2905.0,Wheat,0.05,Mini Truck,300.0,1426.0,195.0,8.0,1995.0
258.6,130.0,Maize,0.1,Pickup,300.0,3620.0,27.0,47.0,3838.0
136.5,420.0,Cotton,0.05,Pickup,300.0,1911.0,46.0,12.0,2311.0
500.8,6260.0,Potato,0.2,Heavy Truck,300.0,11018.0,2508.0,180.0,13801.0
145.6,5262.0,Onion,0.3,Heavy Truck,300.0,3203.0,613.0,79.0,4261.0
564.0,4087.0,Wheat,0.05,Heavy Truck,300.0,12408.0,1844.0,51.0,14731.0
197.4,555.0,Tomato,0.85,Pickup,300.0,2764.0,88.0,302.0,3318.0
594.2,5196.0,Cabbage,0.6,Heavy Truck,300.0,13072.0,2470.0,642.0,17025.0
57.7,207.0,Cotton,0.05,Pickup,300.0,808.0,10.0,5.0,1101.0
104.3,2641.0,Onion,0.3,Mini Truck,300.0,1773.0,220.0,56.0,2336.0
470.6,5369.0,Groundnut,0.1,Heavy Truck,300.0,10353.0,2021.0,85.0,12880.0
258.4,2107.0,Groundnut,0.1,Mini Truck,300.0,4393.0,436.0,47.0,5338.0
157.9,6087.0,Cabbage,0.6,Heavy Truck,300.0,3474.0,769.0,171.0,4891.0
158.9,3895.0,Onion,0.3,Heavy Truck,300.0,3496.0,495.0,86.0,4203.0
20.9,918.0,Sugarcane,0.4,Pickup,300.0,293.0,15.0,15.0,614.0
329.1,1891.0,Potato,0.2,Mini Truck,300.0,5595.0,498.0,118.0,6538.0
535.0,4138.0,Brinjal,0.75,Heavy Truck,300.0,11770.0,1771.0,722.0,15102.0
88.3,3360.0,Cauliflower,0.8,Mini Truck,300.0,1501.0,237.0,127.0,2145.0
486.5,6409.0,Onion,0.3,Heavy Truck,300.0,10703.0,2494.0,263.0,13379.0
503.1,6350.0,Maize,0.1,Heavy Truck,300.0,11068.0,2556.0,91.0,14075.0
526.6,1025.0,Cabbage,0.6,Pickup,300.0,7372.0,432.0,569.0,8616.0
370.2,3596.0,Green Chilli,0.7,Heavy Truck,300.0,8144.0,1065.0,466.0,9902.0
109.0,5993.0,Soybean,0.1,Heavy Truck,300.0,2398.0,523.0,20.0,3124.0
439.7,4230.0,Potato,0.2,Heavy Truck,300.0,9673.0,1488.0,158.0,11392.0
255.3,1159.0,Sugarcane,0.4,Pickup,300.0,3574.0,237.0,184.0,4236.0
495.4,5914.0,Green Chilli,0.7,Heavy Truck,300.0,10899.0,2344.0,624.0,14584.0
280.6,3292.0,Potato,0.2,Mini Truck,300.0,4770.0,739.0,101.0,5693.0
51.4,802.0,Carrot,0.5,Pickup,300.0,720.0,33.0,46.0,1075.0
539.2,3301.0,Green Chilli,0.7,Mini Truck,300.0,9166.0,1424.0,679.0,11507.0
178.7,4601.0,Cauliflower,0.8,Heavy Truck,300.0,3931.0,658.0,257.0,5401.0
491.7,3420.0,Groundnut,0.1,Mini Truck,300.0,8359.0,1345.0,89.0,9745.0
72.5,2295.0,Rice,0.05,Mini Truck,300.0,1232.0,133.0,7.0,1685.0
506.8,6232.0,Wheat,0.05,Heavy Truck,300.0,11150.0,2527.0,46.0,14498.0
547.9,3572.0,Green Chilli,0.7,Heavy Truck,300.0,12054.0,1566.0,690.0,14953.0
439.9,2745.0,Potato,0.2,Mini Truck,300.0,7478.0,966.0,158.0,8997.0
222.7,5417.0,Brinjal,0.75,Heavy Truck,300.0,4899.0,965.0,301.0,6605.0
267.8,1118.0,Carrot,0.5,Pickup,300.0,3749.0,240.0,241.0,4424.0
340.4,2172.0,Tomato,0.85,Mini Truck,300.0,5787.0,591.0,521.0,7202.0
284.3,1039.0,Carrot,0.5,Pickup,300.0,3980.0,236.0,256.0,4862.0
251.4,1527.0,Carrot,0.5,Mini Truck,300.0,4274.0,307.0,226.0,5338.0
560.2,4974.0,Green Chilli,0.7,Heavy Truck,300.0,12324.0,2229.0,706.0,15229.0
361.0,6454.0,Carrot,0.5,Heavy Truck,300.0,7942.0,1864.0,325.0,10406.0
98.6,4266.0,Rice,0.05,Heavy Truck,300.0,2169.0,337.0,9.0,2928.0
286.0,3577.0,Carrot,0.5,Heavy Truck,300.0,6292.0,818.0,257.0,7780.0
270.1,4736.0,Tomato,0.85,Heavy Truck,300.0,5942.0,1023.0,413.0,7923.0
340.9,6559.0,Brinjal,0.75,Heavy Truck,300.0,7500.0,1789.0,460.0,10182.0
159.6,497.0,Green Chilli,0.7,Pickup,300.0,2234.0,63.0,201.0,2884.0
507.5,1892.0,Green Chilli,0.7,Mini Truck,300.0,8628.0,768.0,639.0,10655.0
449.9,6611.0,Cabbage,0.6,Heavy Truck,300.0,9898.0,2379.0,486.0,13448.0
313.5,4086.0,Groundnut,0.1,Heavy Truck,300.0,6897.0,1025.0,56.0,8010.0
589.1,4214.0,Carrot,0.5,Heavy Truck,300.0,12960.0,1986.0,530.0,15755.0
174.7,161.0,Rice,0.05,Pickup,300.0,2446.0,23.0,16.0,2843.0
482.2,2939.0,Tomato,0.85,Mini Truck,300.0,8197.0,1134.0,738.0,10642.0
330.1,6185.0,Carrot,0.5,Heavy Truck,300.0,7262.0,1633.0,297.0,9720.0
230.3,1196.0,Cotton,0.05,Pickup,300.0,3224.0,220.0,21.0,3641.0
460.9,291.0,Cotton,0.05,Pickup,300.0,6453.0,107.0,41.0,7111.0
176.2,5931.0,Carrot,0.5,Heavy Truck,300.0,3876.0,836.0,159.0,5062.0
267.6,5877.0,Carrot,0.5,Heavy Truck,300.0,5887.0,1258.0,241.0,7883.0
125.4,4973.0,Potato,0.2,Heavy Truck,300.0,2759.0,499.0,45.0,3765.0
104.2,813.0,Sugarcane,0.4,Pickup,300.0,1459.0,68.0,75.0,1838.0
307.5,2660.0,Maize,0.1,Mini Truck,300.0,5228.0,654.0,55.0,6263.0
398.3,6784.0,Onion,0.3,Heavy Truck,300.0,8763.0,2162.0,215.0,11417.0
46.6,2132.0,Cabbage,0.6,Mini Truck,300.0,792.0,79.0,50.0,1270.0
248.0,2094.0,Cotton,0.05,Mini Truck,300.0,4216.0,415.0,22.0,5002.0
379.4,1706.0,Green Chilli,0.7,Mini Truck,300.0,6450.0,518.0,478.0,7558.0
76.3,3031.0,Cabbage,0.6,Mini Truck,300.0,1297.0,185.0,82.0,1791.0
384.1,5665.0,Potato,0.2,Heavy Truck,300.0,8450.0,1741.0,138.0,10232.0
125.3,2951.0,Cabbage,0.6,Mini Truck,300.0,2130.0,296.0,135.0,2951.0
18.9,6978.0,Maize,0.1,Heavy Truck,300.0,416.0,106.0,3.0,811.0
444.3,1954.0,Cotton,0.05,Mini Truck,300.0,7553.0,695.0,40.0,8304.0
280.3,274.0,Onion,0.3,Pickup,300.0,3924.0,61.0,151.0,4439.0
575.5,5340.0,Maize,0.1,Heavy Truck,300.0,12661.0,2459.0,104.0,15204.0
648.6,2860.0,Rice,0.05,Mini Truck,300.0,11026.0,1484.0,58.0,12870.0
508.3,6228.0,Soybean,0.1,Heavy Truck,300.0,11183.0,2533.0,91.0,13556.0
31.1,4125.0,Rice,0.05,Heavy Truck,300.0,684.0,103.0,3.0,1064.0
544.5,1366.0,Maize,0.1,Mini Truck,300.0,9256.0,595.0,98.0,10098.0
379.6,5984.0,Cotton,0.05,Heavy Truck,300.0,8351.0,1817.0,34.0,10847.0
112.3,2023.0,Carrot,0.5,Mini Truck,300.0,1909.0,182.0,101.0,2489.0
164.7,3931.0,Cauliflower,0.8,Heavy Truck,300.0,3623.0,518.0,237.0,4585.0
370.2,5216.0,Sugarcane,0.4,Heavy Truck,300.0,8144.0,1545.0,267.0,10704.0
176.5,1178.0,Green Chilli,0.7,Pickup,300.0,2471.0,166.0,222.0,3208.0
402.2,6908.0,Green Chilli,0.7,Heavy Truck,300.0,8848.0,2223.0,507.0,11519.0
396.3,5193.0,Rice,0.05,Heavy Truck,300.0,8719.0,1646.0,36.0,10395.0
458.5,6940.0,Carrot,0.5,Heavy Truck,300.0,10087.0,2546.0,413.0,13028.0
561.2,1204.0,Cabbage,0.6,Mini Truck,300.0,9540.0,541.0,606.0,10664.0
258.1,2502.0,Tomato,0.85,Mini Truck,300.0,4388.0,517.0,395.0,5526.0
504.3,5738.0,Tomato,0.85,Heavy Truck,300.0,11095.0,2315.0,772.0,14065.0
285.5,2996.0,Brinjal,0.75,Mini Truck,300.0,4854.0,684.0,385.0,6336.0
537.4,3230.0,Potato,0.2,Mini Truck,300.0,9136.0,1389.0,193.0,11126.0
204.4,6843.0,Cabbage,0.6,Heavy Truck,300.0,4497.0,1119.0,221.0,6161.0
409.0,4424.0,Green Chilli,0.7,Heavy Truck,300.0,8998.0,1448.0,515.0,10834.0
472.6,3589.0,Cauliflower,0.8,Heavy Truck,300.0,10397.0,1357.0,681.0,12724.0
532.3,2989.0,Carrot,0.5,Mini Truck,300.0,9049.0,1273.0,479.0,11650.0
492.3,5941.0,Tomato,0.85,Heavy Truck,300.0,10831.0,2340.0,753.0,13872.0
359.2,4689.0,Maize,0.1,Heavy Truck,300.0,7902.0,1347.0,65.0,9319.0
624.3,5927.0,Cabbage,0.6,Heavy Truck,300.0,13735.0,2960.0,674.0,17036.0
129.1,637.0,Green Chilli,0.7,Pickup,300.0,1807.0,66.0,163.0,2406.0
614.5,6187.0,Rice,0.05,Heavy Truck,300.0,13519.0,3042.0,55.0,17183.0
188.9,3841.0,Maize,0.1,Heavy Truck,300.0,4156.0,580.0,34.0,4883.0
154.1,6301.0,Green Chilli,0.7,Heavy Truck,300.0,3390.0,777.0,194.0,4876.0
168.3,1296.0,Potato,0.2,Mini Truck,300.0,2861.0,174.0,61.0,3335.0
53.0,1162.0,Green Chilli,0.7,Pickup,300.0,742.0,49.0,67.0,1206.0
525.4,2474.0,Tomato,0.85,Mini Truck,300.0,8932.0,1040.0,804.0,10746.0
576.2,1661.0,Green Chilli,0.7,Mini Truck,300.0,9795.0,766.0,726.0,11419.0
519.6,4812.0,Tomato,0.85,Heavy Truck,300.0,11431.0,2000.0,795.0,14241.0
269.1,3580.0,Cauliflower,0.8,Heavy Truck,300.0,5920.0,771.0,388.0,7620.0
192.3,5505.0,Cabbage,0.6,Heavy Truck,300.0,4231.0,847.0,208.0,5459.0
506.5,1430.0,Potato,0.2,Mini Truck,300.0,8610.0,579.0,182.0,9542.0
167.6,6442.0,Cabbage,0.6,Heavy Truck,300.0,3687.0,864.0,181.0,5024.0
14.6,3808.0,Green Chilli,0.7,Heavy Truck,300.0,321.0,44.0,18.0,691.0
483.9,6999.0,Rice,0.05,Heavy Truck,300.0,10646.0,2709.0,44.0,13302.0
542.3,5542.0,Sugarcane,0.4,Heavy Truck,300.0,11931.0,2404.0,390.0,14790.0
113.5,4101.0,Carrot,0.5,Heavy Truck,300.0,2497.0,372.0,102.0,3370.0
490.9,2810.0,Maize,0.1,Mini Truck,300.0,8345.0,1104.0,88.0,10218.0
394.7,1024.0,Tomato,0.85,Pickup,300.0,5526.0,323.0,604.0,6555.0
165.3,3525.0,Rice,0.05,Heavy Truck,300.0,3637.0,466.0,15.0,4271.0
304.3,4157.0,Wheat,0.05,Heavy Truck,300.0,6695.0,1012.0,27.0,7828.0
590.1,2749.0,Cabbage,0.6,Mini Truck,300.0,10032.0,1298.0,637.0,12632.0
181.6,741.0,Rice,0.05,Pickup,300.0,2542.0,108.0,16.0,3088.0
228.8,6903.0,Onion,0.3,Heavy Truck,300.0,5034.0,1264.0,124.0,6806.0
125.7,3180.0,Groundnut,0.1,Mini Truck,300.0,2137.0,320.0,23.0,2725.0
318.2,1702.0,Brinjal,0.75,Mini Truck,300.0,5409.0,433.0,430.0,6385.0
281.1,6660.0,Carrot,0.5,Heavy Truck,300.0,6184.0,1498.0,253.0,8142.0
437.4,3610.0,Maize,0.1,Heavy Truck,300.0,9623.0,1263.0,79.0,11218.0
255.2,6291.0,Potato,0.2,Heavy Truck,300.0,5614.0,1284.0,92.0,7459.0
579.8,3037.0,Carrot,0.5,Mini Truck,300.0,9857.0,1409.0,522.0,12483.0
156.3,131.0,Cabbage,0.6,Pickup,300.0,2188.0,16.0,169.0,2605.0
484.8,3778.0,Wheat,0.05,Heavy Truck,300.0,10666.0,1465.0,44.0,12330.0
98.0,521.0,Potato,0.2,Pickup,300.0,1372.0,41.0,35.0,1789.0
50.2,4868.0,Cotton,0.05,Heavy Truck,300.0,1104.0,195.0,5.0,1588.0
16.4,749.0,Rice,0.05,Pickup,300.0,230.0,10.0,1.0,554.0
99.3,4115.0,Onion,0.3,Heavy Truck,300.0,2185.0,327.0,54.0,2828.0
436.4,441.0,Cotton,0.05,Pickup,300.0,6110.0,154.0,39.0,6601.0
597.1,3281.0,Potato,0.2,Mini Truck,300.0,10151.0,1567.0,215.0,12031.0
397.5,975.0,Groundnut,0.1,Pickup,300.0,5565.0,310.0,72.0,6413.0
560.4,1158.0,Onion,0.3,Pickup,300.0,7846.0,519.0,303.0,9014.0
161.2,5749.0,Soybean,0.1,Heavy Truck,300.0,3546.0,741.0,29.0,4764.0
215.7,6529.0,Sugarcane,0.4,Heavy Truck,300.0,4745.0,1127.0,155.0,6137.0
125.4,6501.0,Tomato,0.85,Heavy Truck,300.0,2759.0,652.0,192.0,3853.0
357.3,3499.0,Brinjal,0.75,Mini Truck,300.0,6074.0,1000.0,482.0,7891.0
254.6,4065.0,Rice,0.05,Heavy Truck,300.0,5601.0,828.0,23.0,7017.0
494.8,4163.0,Cauliflower,0.8,Heavy Truck,300.0,10886.0,1648.0,713.0,13528.0
71.0,6121.0,Tomato,0.85,Heavy Truck,300.0,1562.0,348.0,109.0,2260.0
309.1,3846.0,Wheat,0.05,Heavy Truck,300.0,6800.0,951.0,28.0,8454.0
186.0,6196.0,Green Chilli,0.7,Heavy Truck,300.0,4092.0,922.0,234.0,5644.0
512.8,2579.0,Cauliflower,0.8,Mini Truck,300.0,8718.0,1058.0,738.0,10898.0
540.9,3836.0,Sugarcane,0.4,Heavy Truck,300.0,11900.0,1660.0,389.0,14090.0
289.8,5577.0,Potato,0.2,Heavy Truck,300.0,6376.0,1293.0,104.0,8044.0
120.0,5204.0,Wheat,0.05,Heavy Truck,300.0,2640.0,500.0,11.0,3436.0
90.2,4133.0,Potato,0.2,Heavy Truck,300.0,1984.0,298.0,32.0,2596.0
601.3,6050.0,Soybean,0.1,Heavy Truck,300.0,13229.0,2910.0,108.0,17188.0
481.8,653.0,Cabbage,0.6,Pickup,300.0,6745.0,252.0,520.0,7780.0
365.5,1291.0,Cotton,0.05,Mini Truck,300.0,6214.0,377.0,33.0,6865.0
493.2,3780.0,Green Chilli,0.7,Heavy Truck,300.0,10850.0,1491.0,621.0,13603.0
434.8,4486.0,Potato,0.2,Heavy Truck,300.0,9566.0,1560.0,157.0,11908.0
642.9,3186.0,Cauliflower,0.8,Mini Truck,300.0,10929.0,1639.0,926.0,13752.0
386.9,1838.0,Potato,0.2,Mini Truck,300.0,6577.0,569.0,139.0,7723.0
68.0,6626.0,Sugarcane,0.4,Heavy Truck,300.0,1496.0,360.0,49.0,2149.0
600.1,702.0,Cabbage,0.6,Pickup,300.0,8401.0,337.0,648.0,9799.0
390.2,5538.0,Cabbage,0.6,Heavy Truck,300.0,8584.0,1729.0,421.0,11291.0
277.2,1275.0,Groundnut,0.1,Mini Truck,300.0,4712.0,283.0,50.0,5345.0
96.0,2850.0,Wheat,0.05,Mini Truck,300.0,1632.0,219.0,9.0,2252.0
580.8,5813.0,Tomato,0.85,Heavy Truck,300.0,12778.0,2701.0,889.0,17445.0
241.2,1440.0,Onion,0.3,Mini Truck,300.0,4100.0,278.0,130.0,4823.0
192.4,371.0,Groundnut,0.1,Pickup,300.0,2694.0,57.0,35.0,3026.0
57.9,5188.0,Onion,0.3,Heavy Truck,300.0,1274.0,240.0,31.0,1867.0
167.2,5365.0,Cauliflower,0.8,Heavy Truck,300.0,3678.0,718.0,241.0,5014.0
96.1,2155.0,Carrot,0.5,Mini Truck,300.0,1634.0,166.0,86.0,2117.0
617.8,1633.0,Cotton,0.05,Mini Truck,300.0,10503.0,807.0,56.0,11205.0
39.9,6759.0,Maize,0.1,Heavy Truck,300.0,878.0,216.0,7.0,1411.0
305.3,4648.0,Green Chilli,0.7,Heavy Truck,300.0,6717.0,1135.0,385.0,8502.0
266.1,6472.0,Groundnut,0.1,Heavy Truck,300.0,5854.0,1378.0,48.0,7562.0
547.9,3371.0,Brinjal,0.75,Mini Truck,300.0,9314.0,1478.0,740.0,12285.0
260.2,1607.0,Cauliflower,0.8,Mini Truck,300.0,4423.0,335.0,375.0,5564.0
236.6,202.0,Green Chilli,0.7,Pickup,300.0,3312.0,38.0,298.0,3872.0
121.0,1973.0,Onion,0.3,Mini Truck,300.0,2057.0,191.0,65.0,2613.0
282.4,1112.0,Rice,0.05,Pickup,300.0,3954.0,251.0,25.0,4624.0
141.6,6085.0,Rice,0.05,Heavy Truck,300.0,3115.0,689.0,13.0,4244.0
83.4,4536.0,Sugarcane,0.4,Heavy Truck,300.0,1835.0,303.0,60.0,2536.0
191.2,743.0,Brinjal,0.75,Pickup,300.0,2677.0,114.0,258.0,3305.0
610.8,5036.0,Brinjal,0.75,Heavy Truck,300.0,13438.0,2461.0,825.0,16877.0
586.0,2085.0,Maize,0.1,Mini Truck,300.0,9962.0,977.0,105.0,11656.0
304.3,3301.0,Soybean,0.1,Mini Truck,300.0,5173.0,804.0,55.0,6588.0
344.9,3389.0,Brinjal,0.75,Mini Truck,300.0,5863.0,935.0,466.0,7870.0
491.3,3012.0,Groundnut,0.1,Mini Truck,300.0,8352.0,1184.0,88.0,9714.0
170.6,2117.0,Cabbage,0.6,Mini Truck,300.0,2900.0,289.0,184.0,3849.0
534.0,6172.0,Sugarcane,0.4,Heavy Truck,300.0,11748.0,2637.0,384.0,14561.0
219.8,2447.0,Cauliflower,0.8,Mini Truck,300.0,3737.0,430.0,317.0,4829.0
22.7,697.0,Cotton,0.05,Pickup,300.0,318.0,13.0,2.0,635.0
403.9,1403.0,Wheat,0.05,Mini Truck,300.0,6866.0,453.0,36.0,7830.0
36.4,1264.0,Cauliflower,0.8,Mini Truck,300.0,619.0,37.0,52.0,988.0
206.9,5423.0,Onion,0.3,Heavy Truck,300.0,4552.0,898.0,112.0,6032.0
117.7,1954.0,Brinjal,0.75,Mini Truck,300.0,2001.0,184.0,159.0,2724.0
519.5,3557.0,Brinjal,0.75,Heavy Truck,300.0,11429.0,1478.0,701.0,14069.0
297.1,5350.0,Tomato,0.85,Heavy Truck,300.0,6536.0,1272.0,455.0,8347.0
569.5,5432.0,Green Chilli,0.7,Heavy Truck,300.0,12529.0,2475.0,718.0,16455.0
252.2,5351.0,Brinjal,0.75,Heavy Truck,300.0,5548.0,1080.0,340.0,7344.0
36.5,4849.0,Potato,0.2,Heavy Truck,300.0,803.0,142.0,13.0,1230.0
287.7,4972.0,Onion,0.3,Heavy Truck,300.0,6329.0,1144.0,155.0,8078.0
636.7,122.0,Green Chilli,0.7,Pickup,300.0,8914.0,62.0,802.0,9881.0
569.6,4418.0,Green Chilli,0.7,Heavy Truck,300.0,12531.0,2013.0,718.0,15614.0
613.9,1303.0,Brinjal,0.75,Mini Truck,300.0,10436.0,640.0,829.0,12514.0
160.1,5484.0,Cabbage,0.6,Heavy Truck,300.0,3522.0,702.0,173.0,4516.0
520.8,4113.0,Rice,0.05,Heavy Truck,300.0,11458.0,1714.0,47.0,13558.0
59.7,4737.0,Tomato,0.85,Heavy Truck,300.0,1313.0,226.0,91.0,1907.0
